rfi_id,date_submitted,date_responded,discipline,category,description,source_clash,source_round
RFI-016,2025-06-05,2025-06-10,Structural,Coordination Issue,"Coordination issue at Zone -5-7 Level 2: MEP-Structure clash near (-29995, 36512, 4279mm). Ref: Clash-be954cfc4183",Clash-be954cfc4183,1
RFI-017,2025-06-08,2025-06-12,Mechanical,Coordination Issue,"Coordination issue at Zone -8-0 Level 2: MEP-Structure clash near (-42174, 0, 4013mm). Ref: Clash-07f0592a98f4",Clash-07f0592a98f4,1
RFI-018,2025-06-01,,Structural,Coordination Issue,"Coordination issue at Zone -8-5 Level 3: Electrical-Structure clash near (-42437, 25859, 9072mm). Ref: Clash-02499078d685",Clash-02499078d685,1
RFI-019,2025-06-12,2025-06-16,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-eebfa5ceedb3",Clash-eebfa5ceedb3,1
RFI-020,2025-06-03,2025-06-11,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-f7de3ffb21e3",Clash-f7de3ffb21e3,1
RFI-021,2025-06-14,2025-06-21,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-589cf2f05e8b",Clash-589cf2f05e8b,1
RFI-022,2025-06-04,2025-06-09,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-65e532f9dcc4",Clash-65e532f9dcc4,1
RFI-023,2025-06-01,2025-06-08,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-5aeec0aee1d1",Clash-5aeec0aee1d1,1
RFI-024,2025-06-08,2025-06-16,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-17f889e96ce2",Clash-17f889e96ce2,1
RFI-025,2025-06-11,2025-06-20,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-d4ac0a2cbd67",Clash-d4ac0a2cbd67,1
RFI-026,2025-06-07,2025-06-11,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-420586243d75",Clash-420586243d75,1
RFI-027,2025-06-11,2025-06-13,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-c7a3e1552be0",Clash-c7a3e1552be0,1
RFI-028,2025-06-13,2025-06-15,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-cb1424db1930",Clash-cb1424db1930,1
RFI-029,2025-06-04,2025-06-08,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-4f033f3b3921",Clash-4f033f3b3921,1
RFI-030,2025-06-14,2025-06-16,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-5113498f5819",Clash-5113498f5819,1
RFI-031,2025-06-05,2025-06-08,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-6f0d1cd18b1e",Clash-6f0d1cd18b1e,1
RFI-032,2025-06-06,,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-9f3ee5a01dda",Clash-9f3ee5a01dda,1
RFI-033,2025-06-10,2025-06-14,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-75cb82d2818c",Clash-75cb82d2818c,1
RFI-034,2025-06-07,2025-06-18,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-45190992bc0d",Clash-45190992bc0d,1
RFI-035,2025-06-06,2025-06-13,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-eeed1bbadf14",Clash-eeed1bbadf14,1
RFI-036,2025-06-12,2025-06-13,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-9f707e863bfc",Clash-9f707e863bfc,1
RFI-037,2025-06-11,2025-06-16,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-341431093204",Clash-341431093204,1
RFI-038,2025-06-04,2025-06-07,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-0ee1476f2842",Clash-0ee1476f2842,1
RFI-039,2025-06-08,2025-06-09,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-d81d41d4d112",Clash-d81d41d4d112,1
RFI-040,2025-06-14,2025-06-20,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-cd95955646c8",Clash-cd95955646c8,1
RFI-041,2025-06-04,2025-06-09,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-ed4962d10776",Clash-ed4962d10776,1
RFI-042,2025-06-01,2025-06-07,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-3d985cc68132",Clash-3d985cc68132,1
RFI-043,2025-06-05,2025-06-10,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-f0aff0df432f",Clash-f0aff0df432f,1
RFI-044,2025-06-04,2025-06-07,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-5a400ad1aefa",Clash-5a400ad1aefa,1
RFI-045,2025-06-11,2025-06-23,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-c52e34e3a4fd",Clash-c52e34e3a4fd,1
RFI-046,2025-06-03,2025-06-07,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-f7bb246a6ed2",Clash-f7bb246a6ed2,1
RFI-047,2025-06-13,2025-06-20,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-531f7e7d283d",Clash-531f7e7d283d,1
RFI-048,2025-06-01,2025-06-08,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-ffb58bf7310d",Clash-ffb58bf7310d,1
RFI-049,2025-06-10,2025-06-15,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-f84ca810fffd",Clash-f84ca810fffd,1
RFI-050,2025-06-13,2025-06-14,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-199b7616167b",Clash-199b7616167b,1
RFI-051,2025-06-13,2025-06-16,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-0d5a09f75e5d",Clash-0d5a09f75e5d,1
RFI-052,2025-06-14,2025-06-16,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-5eefb97cb3a7",Clash-5eefb97cb3a7,1
RFI-053,2025-06-08,2025-06-17,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-1652f8c323de",Clash-1652f8c323de,1
RFI-054,2025-06-11,2025-06-16,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-ade63c62eaf0",Clash-ade63c62eaf0,1
RFI-055,2025-06-05,2025-06-08,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-460704663d19",Clash-460704663d19,1
RFI-056,2025-06-14,2025-06-19,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-781a5f719da9",Clash-781a5f719da9,1
RFI-057,2025-06-03,2025-06-07,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-f3e164a889ae",Clash-f3e164a889ae,1
RFI-058,2025-06-09,2025-06-15,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-81af6c4d482f",Clash-81af6c4d482f,1
RFI-059,2025-06-04,2025-06-10,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-4d33ae557eff",Clash-4d33ae557eff,1
RFI-060,2025-06-13,2025-06-20,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-bf739f7da0a3",Clash-bf739f7da0a3,1
RFI-061,2025-06-07,2025-06-13,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-0b5be20f4c49",Clash-0b5be20f4c49,1
RFI-062,2025-06-11,2025-06-13,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-03769c5685f3",Clash-03769c5685f3,1
RFI-063,2025-06-02,2025-06-19,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-c0162442eb64",Clash-c0162442eb64,1
RFI-064,2025-06-08,2025-06-14,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-944884b041e1",Clash-944884b041e1,1
RFI-065,2025-06-13,2025-06-21,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-2f1095bd8936",Clash-2f1095bd8936,1
RFI-066,2025-06-01,2025-06-09,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-b1cd6d26d806",Clash-b1cd6d26d806,1
RFI-067,2025-06-04,2025-06-11,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-bad19e0dd39e",Clash-bad19e0dd39e,1
RFI-068,2025-06-08,2025-06-10,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-25d7f059d52b",Clash-25d7f059d52b,1
RFI-069,2025-06-09,,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-c7cb660b3fc7",Clash-c7cb660b3fc7,1
RFI-070,2025-06-04,2025-06-17,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-e43c141096ec",Clash-e43c141096ec,1
RFI-071,2025-06-09,2025-06-14,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-d344e2090b4d",Clash-d344e2090b4d,1
RFI-072,2025-06-02,2025-06-04,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-73cd0958cbd3",Clash-73cd0958cbd3,1
RFI-073,2025-06-14,2025-06-27,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-abcd3936b984",Clash-abcd3936b984,1
RFI-074,2025-06-08,2025-06-15,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-7495b1dcd0aa",Clash-7495b1dcd0aa,1
RFI-075,2025-06-03,2025-06-10,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-cedb63bd480b",Clash-cedb63bd480b,1
RFI-076,2025-06-02,2025-06-04,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-1cbc6a6ddbef",Clash-1cbc6a6ddbef,1
RFI-077,2025-06-14,,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-5e61d9fb1ebd",Clash-5e61d9fb1ebd,1
RFI-078,2025-06-12,,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-ec487a3cfb9f",Clash-ec487a3cfb9f,1
RFI-079,2025-06-04,2025-06-09,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-e22b4dbb05dc",Clash-e22b4dbb05dc,1
RFI-080,2025-06-02,2025-06-07,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-9870705b9044",Clash-9870705b9044,1
RFI-081,2025-06-05,2025-06-09,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-552c3e10a823",Clash-552c3e10a823,1
RFI-082,2025-06-04,2025-06-07,Structural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-d573c1344def",Clash-d573c1344def,1
RFI-083,2025-06-14,2025-06-20,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-dfbb497c74e8",Clash-dfbb497c74e8,1
RFI-084,2025-06-07,2025-06-14,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-4a259d61eada",Clash-4a259d61eada,1
RFI-085,2025-06-06,2025-06-09,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-48380f869d98",Clash-48380f869d98,1
RFI-086,2025-06-11,2025-06-13,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-093b3ad67eeb",Clash-093b3ad67eeb,1
RFI-087,2025-06-06,2025-06-10,Plumbing,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: Plumbing-Structure clash near (0, 0, -75mm). Ref: Clash-06be830f6809",Clash-06be830f6809,1
RFI-088,2025-06-05,2025-06-08,Mechanical,Coordination Issue,"Coordination issue at Zone -7-9 Level 3: MEP-Architecture clash near (-36486, 48314, 8189mm). Ref: Clash-6b160cbff479",Clash-6b160cbff479,1
RFI-089,2025-06-10,2025-06-22,Mechanical,Coordination Issue,"Coordination issue at Zone -3-8 Level 2: MEP-Architecture clash near (-19857, 43015, 3660mm). Ref: Clash-534914dbfcea",Clash-534914dbfcea,1
RFI-090,2025-06-12,2025-06-14,Architectural,Coordination Issue,"Coordination issue at Zone -8-3 Level 3: MEP-Architecture clash near (-41466, 18286, 8820mm). Ref: Clash-1079fa28123c",Clash-1079fa28123c,1
RFI-091,2025-06-09,2025-06-13,Architectural,Coordination Issue,"Coordination issue at Zone -3-2 Level 2: MEP-Architecture clash near (-15665, 14552, 4000mm). Ref: Clash-75a820327f4f",Clash-75a820327f4f,1
RFI-092,2025-06-06,2025-06-11,Architectural,Coordination Issue,"Coordination issue at Zone -4-3 Level 2: MEP-Architecture clash near (-22412, 17299, 3619mm). Ref: Clash-f626a39f5b0a",Clash-f626a39f5b0a,1
RFI-093,2025-06-04,2025-06-09,Architectural,Coordination Issue,"Coordination issue at Zone -5-1 Level 2: MEP-Architecture clash near (-27028, 8399, 4000mm). Ref: Clash-994bcdb1ac24",Clash-994bcdb1ac24,1
RFI-094,2025-06-07,2025-06-09,Architectural,Coordination Issue,"Coordination issue at Zone -2-8 Level 2: MEP-Architecture clash near (-14835, 40322, 4260mm). Ref: Clash-509d01dc2ff8",Clash-509d01dc2ff8,1
RFI-095,2025-06-10,2025-06-12,Architectural,Coordination Issue,"Coordination issue at Zone -8-8 Level 3: MEP-Architecture clash near (-43308, 44942, 8230mm). Ref: Clash-b031f829542b",Clash-b031f829542b,1
RFI-096,2025-06-01,2025-06-04,Architectural,Coordination Issue,"Coordination issue at Zone -2-4 Level 3: MEP-Architecture clash near (-12391, 22912, 8189mm). Ref: Clash-21c6a45d7507",Clash-21c6a45d7507,1
RFI-097,2025-06-04,2025-06-06,Architectural,Coordination Issue,"Coordination issue at Zone -1-8 Level 3: MEP-Architecture clash near (-8192, 42424, 8189mm). Ref: Clash-9b00ac370ffa",Clash-9b00ac370ffa,1
RFI-098,2025-06-10,2025-06-18,Architectural,Coordination Issue,"Coordination issue at Zone -5-5 Level 2: MEP-Architecture clash near (-26749, 26542, 4000mm). Ref: Clash-489628b48baa",Clash-489628b48baa,1
RFI-099,2025-06-13,2025-06-19,Architectural,Coordination Issue,"Coordination issue at Zone -3-8 Level 1: MEP-Architecture clash near (-19953, 44983, 3200mm). Ref: Clash-c2f63fb3ff1c",Clash-c2f63fb3ff1c,1
RFI-100,2025-06-11,2025-06-18,Architectural,Coordination Issue,"Coordination issue at Zone 0-3 Level 1: MEP-Architecture clash near (246, 17303, 2880mm). Ref: Clash-642a59b32e03",Clash-642a59b32e03,1
RFI-101,2025-06-04,2025-06-12,Mechanical,Coordination Issue,"Coordination issue at Zone -3-4 Level 3: MEP-Architecture clash near (-16874, 22912, 8180mm). Ref: Clash-ca05ddab363e",Clash-ca05ddab363e,1
RFI-102,2025-06-02,2025-06-08,Mechanical,Coordination Issue,"Coordination issue at Zone -2-4 Level 3: MEP-Architecture clash near (-11272, 24746, 8820mm). Ref: Clash-f85d70a77d8c",Clash-f85d70a77d8c,1
RFI-103,2025-06-02,2025-06-04,Architectural,Coordination Issue,"Coordination issue at Zone -4-2 Level 1: MEP-Architecture clash near (-22277, 14580, 2706mm). Ref: Clash-1e83fac80aec",Clash-1e83fac80aec,1
RFI-104,2025-06-11,2025-06-12,Architectural,Coordination Issue,"Coordination issue at Zone -4-3 Level 1: MEP-Architecture clash near (-22412, 17971, 2706mm). Ref: Clash-012a62fd5320",Clash-012a62fd5320,1
RFI-105,2025-06-10,2025-06-13,Mechanical,Coordination Issue,"Coordination issue at Zone -2-2 Level 1: MEP-Architecture clash near (-10065, 13851, 2706mm). Ref: Clash-cb3d1d482ea6",Clash-cb3d1d482ea6,1
RFI-106,2025-06-07,2025-06-12,Architectural,Coordination Issue,"Coordination issue at Zone -4-9 Level 1: MEP-Architecture clash near (-23891, 46140, 2706mm). Ref: Clash-a946b3156067",Clash-a946b3156067,1
RFI-107,2025-06-09,2025-06-12,Mechanical,Coordination Issue,"Coordination issue at Zone -8-4 Level 1: MEP-Architecture clash near (-41563, 24866, 2706mm). Ref: Clash-906a98f64893",Clash-906a98f64893,1
RFI-108,2025-06-01,,Mechanical,Coordination Issue,"Coordination issue at Zone -2-3 Level 1: MEP-Architecture clash near (-10878, 18551, 2706mm). Ref: Clash-0d8bdc1b39e9",Clash-0d8bdc1b39e9,1
RFI-109,2025-06-02,2025-06-12,Architectural,Coordination Issue,"Coordination issue at Zone -8-2 Level 3: MEP-Architecture clash near (-40222, 14900, 7276mm). Ref: Clash-fa54a902735d",Clash-fa54a902735d,1
RFI-110,2025-06-02,2025-06-03,Architectural,Coordination Issue,"Coordination issue at Zone -8-5 Level 1: MEP-Architecture clash near (-44016, 26482, 2706mm). Ref: Clash-7cc236a7e515",Clash-7cc236a7e515,1
RFI-111,2025-06-04,,Mechanical,Coordination Issue,"Coordination issue at Zone -9-5 Level 1: MEP-Architecture clash near (-45814, 27079, 2706mm). Ref: Clash-c290a36e9a88",Clash-c290a36e9a88,1
RFI-112,2025-06-01,2025-06-08,Mechanical,Coordination Issue,"Coordination issue at Zone -2-3 Level 1: MEP-Architecture clash near (-10867, 15549, 2706mm). Ref: Clash-b3dc620580c7",Clash-b3dc620580c7,1
RFI-113,2025-06-03,2025-06-18,Architectural,Coordination Issue,"Coordination issue at Zone -4-8 Level 1: MEP-Architecture clash near (-24566, 41868, 2706mm). Ref: Clash-e017645158f4",Clash-e017645158f4,1
RFI-114,2025-06-08,2025-06-11,Architectural,Coordination Issue,"Coordination issue at Zone -4-8 Level 1: MEP-Architecture clash near (-24566, 41868, 2706mm). Ref: Clash-08b1530c7083",Clash-08b1530c7083,1
RFI-115,2025-06-11,2025-06-17,Architectural,Coordination Issue,"Coordination issue at Zone -5-9 Level 1: MEP-Architecture clash near (-25759, 47319, 2706mm). Ref: Clash-b143f02e8900",Clash-b143f02e8900,1
RFI-116,2025-06-11,2025-06-16,Architectural,Coordination Issue,"Coordination issue at Zone 0-9 Level 1: MEP-Architecture clash near (-2291, 47744, 2706mm). Ref: Clash-72f8a97de7b4",Clash-72f8a97de7b4,1
RFI-117,2025-06-03,2025-06-17,Mechanical,Coordination Issue,"Coordination issue at Zone -5-4 Level 1: MEP-Architecture clash near (-27892, 21540, 2706mm). Ref: Clash-9affae5a4377",Clash-9affae5a4377,1
RFI-118,2025-06-06,2025-06-12,Architectural,Coordination Issue,"Coordination issue at Zone -9-1 Level 1: MEP-Architecture clash near (-48781, 7726, 2706mm). Ref: Clash-b2c7d4fdbb6d",Clash-b2c7d4fdbb6d,1
RFI-119,2025-06-05,2025-06-14,Mechanical,Coordination Issue,"Coordination issue at Zone 0-2 Level 1: Electrical-Mechanical clash near (-1445, 13046, 2731mm). Ref: Clash-852278a046e0",Clash-852278a046e0,1
RFI-120,2025-06-13,,Mechanical,Coordination Issue,"Coordination issue at Zone 0-4 Level 1: Electrical-Mechanical clash near (-3781, 21918, 2812mm). Ref: Clash-b0e5e4cd5de3",Clash-b0e5e4cd5de3,1
RFI-121,2025-06-13,2025-06-15,Electrical,Coordination Issue,"Coordination issue at Zone -5-2 Level 1: Electrical-Mechanical clash near (-27166, 13843, 2801mm). Ref: Clash-577c19051799",Clash-577c19051799,1
RFI-122,2025-06-14,2025-06-22,Electrical,Coordination Issue,"Coordination issue at Zone -6-2 Level 1: Electrical-Mechanical clash near (-30174, 13843, 2801mm). Ref: Clash-4a8c6f51505a",Clash-4a8c6f51505a,1
RFI-123,2025-06-04,2025-06-09,Electrical,Coordination Issue,"Coordination issue at Zone -6-4 Level 1: Electrical-Mechanical clash near (-33640, 21534, 2800mm). Ref: Clash-5beb994b787f",Clash-5beb994b787f,1
RFI-124,2025-06-11,2025-06-14,Mechanical,Coordination Issue,"Coordination issue at Zone -7-5 Level 1: Electrical-Mechanical clash near (-37212, 27425, 2731mm). Ref: Clash-09582ab7da06",Clash-09582ab7da06,1
RFI-125,2025-06-03,2025-06-13,Electrical,Coordination Issue,"Coordination issue at Zone -1-8 Level 1: Electrical-Mechanical clash near (-9158, 41510, 2731mm). Ref: Clash-2ef7678d9992",Clash-2ef7678d9992,1
RFI-126,2025-06-07,2025-06-10,Mechanical,Coordination Issue,"Coordination issue at Zone -1-7 Level 1: Electrical-Mechanical clash near (-9158, 37912, 2731mm). Ref: Clash-b32dd24e8f26",Clash-b32dd24e8f26,1
