rfi_id,date_submitted,date_responded,discipline,category
RFI-062,2026-01-16,2026-01-30,Mechanical,Coordination
RFI-063,2026-01-20,2026-01-23,Electrical,Design Clarification
RFI-064,2026-01-23,2026-02-06,Hydraulic,Coordination
RFI-065,2026-01-27,2026-01-30,Architecture,Specification
RFI-066,2026-01-30,2026-02-03,Structural,Design Clarification
RFI-067,2026-02-03,2026-02-06,Mechanical,Specification
RFI-068,2026-02-06,2026-02-10,Electrical,Design Clarification
RFI-069,2026-02-10,2026-02-17,Hydraulic,Coordination
RFI-070,2026-02-13,2026-02-17,Architecture,Design Clarification
RFI-071,2026-02-17,2026-02-20,Structural,Coordination
RFI-072,2026-02-19,2026-02-25,Mechanical,Design Clarification
RFI-073,2026-02-21,2026-02-26,Electrical,Specification
RFI-074,2026-02-24,,Hydraulic,Design Clarification
RFI-075,2026-02-26,2026-03-02,Architecture,Coordination
RFI-076,2026-02-28,2026-03-04,Structural,Specification
RFI-077,2026-03-03,2026-03-06,Mechanical,Design Clarification
RFI-078,2026-03-05,2026-03-10,Electrical,Coordination
RFI-079,2026-03-07,,Hydraulic,Specification
RFI-080,2026-01-13,2026-01-16,Architecture,Design Clarification
RFI-081,2026-01-17,2026-01-22,Structural,Coordination
RFI-082,2026-01-22,2026-01-27,Mechanical,Design Clarification
RFI-083,2026-01-28,2026-02-04,Electrical,Specification
RFI-084,2026-02-03,2026-02-07,Hydraulic,Design Clarification
RFI-085,2026-02-07,2026-02-12,Architecture,Coordination
RFI-086,2026-02-11,2026-02-14,Structural,Design Clarification
RFI-087,2026-02-14,2026-02-19,Mechanical,Specification
RFI-088,2026-02-18,2026-02-21,Electrical,Design Clarification
RFI-089,2026-02-21,2026-02-27,Hydraulic,Coordination
RFI-090,2026-02-25,2026-02-28,Architecture,Design Clarification
RFI-091,2026-02-28,2026-03-05,Structural,Specification
RFI-092,2026-03-04,2026-03-07,Mechanical,Coordination
RFI-093,2026-03-06,2026-03-10,Electrical,Design Clarification
RFI-094,2026-03-07,,Hydraulic,Specification
RFI-095,2026-01-15,2026-01-20,Structural,Design Clarification
RFI-096,2026-01-21,2026-01-24,Mechanical,Coordination
RFI-097,2026-01-28,2026-02-03,Electrical,Design Clarification
RFI-098,2026-02-05,2026-02-10,Hydraulic,Specification
RFI-099,2026-02-12,2026-02-17,Architecture,Design Clarification
RFI-100,2026-02-19,2026-02-24,Structural,Coordination
