rfi_id,date_submitted,date_responded,discipline,category,description,source_clash,source_round
RFI-020,2025-06-03,2025-06-17,Mechanical,Coordination Issue,"Coordination issue at Zone 1--1 Level 1: Electrical-Mechanical clash near (5415, -6904, 3289mm). Ref: Clash-d5bfd421f41a",Clash-d5bfd421f41a,1
RFI-021,2025-06-14,2025-06-21,Electrical,Coordination Issue,"Coordination issue at Zone 1--1 Level 2: Electrical-Mechanical clash near (6393, -9791, 3558mm). Ref: Clash-982d3a91329f",Clash-982d3a91329f,1
RFI-022,2025-06-04,2025-06-12,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Electrical-Mechanical clash near (4055, -8669, 1220mm). Ref: Clash-0dfd49b975c7",Clash-0dfd49b975c7,1
RFI-023,2025-06-01,2025-06-12,Mechanical,Coordination Issue,"Coordination issue at Zone 1--2 Level 1: Electrical-Mechanical clash near (5813, -10345, 1068mm). Ref: Clash-630b9add7ed1",Clash-630b9add7ed1,1
RFI-024,2025-06-08,2025-06-22,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 2: Plumbing-Mechanical clash near (3944, -9645, 3969mm). Ref: Clash-2aea87d591fe",Clash-2aea87d591fe,1
RFI-025,2025-06-11,2025-06-20,Plumbing,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4090, -7799, -410mm). Ref: Clash-9cfa72496470",Clash-9cfa72496470,1
RFI-026,2025-06-07,2025-06-11,Plumbing,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (4707, -10108, 2722mm). Ref: Clash-a36a41c4b02b",Clash-a36a41c4b02b,1
RFI-027,2025-06-11,2025-06-14,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4152, -7932, -460mm). Ref: Clash-dd35ae490501",Clash-dd35ae490501,1
RFI-028,2025-06-13,2025-06-16,Mechanical,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (4648, -10354, 3000mm). Ref: Clash-586fb2a5d72e",Clash-586fb2a5d72e,1
RFI-029,2025-06-04,2025-06-10,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4648, -9693, 3000mm). Ref: Clash-b7f5af2fe6ca",Clash-b7f5af2fe6ca,1
RFI-030,2025-06-14,2025-06-17,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4667, -9346, 2850mm). Ref: Clash-a720d65074c6",Clash-a720d65074c6,1
RFI-031,2025-06-05,2025-06-09,Mechanical,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (1543, -10329, 2602mm). Ref: Clash-2563bc72331c",Clash-2563bc72331c,1
RFI-032,2025-06-06,,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (3995, -9594, 3103mm). Ref: Clash-98ddf05714ce",Clash-98ddf05714ce,1
RFI-033,2025-06-10,2025-06-14,Plumbing,Coordination Issue,"Coordination issue at Zone 1--1 Level 1: Plumbing-Mechanical clash near (5936, -7319, 603mm). Ref: Clash-9f0ed9556bf0",Clash-9f0ed9556bf0,1
RFI-034,2025-06-07,2025-06-27,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4065, -7978, -578mm). Ref: Clash-08ea69af5017",Clash-08ea69af5017,1
RFI-035,2025-06-06,2025-06-19,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4090, -7805, -531mm). Ref: Clash-4bd64dfac4b7",Clash-4bd64dfac4b7,1
RFI-036,2025-06-12,2025-06-13,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (3957, -8995, 2734mm). Ref: Clash-e8054ecc7ed3",Clash-e8054ecc7ed3,1
RFI-037,2025-06-11,2025-06-18,Mechanical,Coordination Issue,"Coordination issue at Zone 1--1 Level 1: Plumbing-Mechanical clash near (5158, -9796, -266mm). Ref: Clash-7e28b27b3d9d",Clash-7e28b27b3d9d,1
RFI-038,2025-06-04,2025-06-07,Plumbing,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4707, -8118, 2733mm). Ref: Clash-6720adf63bd8",Clash-6720adf63bd8,1
RFI-039,2025-06-08,2025-06-09,Plumbing,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4648, -9134, -460mm). Ref: Clash-5723e73e9fa5",Clash-5723e73e9fa5,1
RFI-040,2025-06-14,2025-06-24,Mechanical,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (4648, -10266, -460mm). Ref: Clash-4e112cfa9347",Clash-4e112cfa9347,1
RFI-041,2025-06-04,2025-06-11,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4107, -8441, 2867mm). Ref: Clash-ea61b73f8125",Clash-ea61b73f8125,1
RFI-042,2025-06-01,2025-06-07,Plumbing,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4090, -9975, 3100mm). Ref: Clash-0c07a7d52ade",Clash-0c07a7d52ade,1
RFI-043,2025-06-05,2025-06-12,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4768, -8871, 3100mm). Ref: Clash-2adb06d9a566",Clash-2adb06d9a566,1
RFI-044,2025-06-04,2025-06-07,Plumbing,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4647, -9982, 3100mm). Ref: Clash-c265f27ee57d",Clash-c265f27ee57d,1
RFI-045,2025-06-11,2025-07-02,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4707, -9319, 3100mm). Ref: Clash-30b762e7bb73",Clash-30b762e7bb73,1
RFI-046,2025-06-03,2025-06-07,Plumbing,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4707, -9651, 600mm). Ref: Clash-62610677de4b",Clash-62610677de4b,1
RFI-047,2025-06-13,2025-06-24,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4707, -7303, 2757mm). Ref: Clash-0a1b3c6d8c72",Clash-0a1b3c6d8c72,1
RFI-048,2025-06-01,2025-06-08,Plumbing,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (4121, -10350, 3100mm). Ref: Clash-fca0cd4d84f4",Clash-fca0cd4d84f4,1
RFI-049,2025-06-10,2025-06-18,Mechanical,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (3334, -10040, 3000mm). Ref: Clash-30e1213bfc74",Clash-30e1213bfc74,1
RFI-050,2025-06-13,2025-06-14,Plumbing,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (3372, -10974, 3193mm). Ref: Clash-af09923559a2",Clash-af09923559a2,1
RFI-051,2025-06-13,2025-06-16,Plumbing,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (3372, -10974, 3157mm). Ref: Clash-1d732124be39",Clash-1d732124be39,1
RFI-052,2025-06-14,2025-06-17,Mechanical,Coordination Issue,"Coordination issue at Zone 1--1 Level 1: Plumbing-Mechanical clash near (5412, -6804, 3117mm). Ref: Clash-53d77ed42721",Clash-53d77ed42721,1
RFI-053,2025-06-08,2025-06-24,Mechanical,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (2864, -10484, 747mm). Ref: Clash-0695d2458ffe",Clash-0695d2458ffe,1
RFI-054,2025-06-11,2025-06-16,Plumbing,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (3488, -7501, -719mm). Ref: Clash-7a4a48f1c9eb",Clash-7a4a48f1c9eb,1
RFI-055,2025-06-05,2025-06-09,Mechanical,Coordination Issue,"Coordination issue at Zone 1--1 Level 1: Plumbing-Mechanical clash near (5202, -8482, -0mm). Ref: Clash-2dc93730d8ec",Clash-2dc93730d8ec,1
RFI-056,2025-06-14,2025-06-19,Plumbing,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (2966, -10658, 688mm). Ref: Clash-7322805b5e5b",Clash-7322805b5e5b,1
RFI-057,2025-06-03,2025-06-07,Plumbing,Coordination Issue,"Coordination issue at Zone 0--1 Level 2: Plumbing-Mechanical clash near (4808, -8770, 3880mm). Ref: Clash-12003ee5ac51",Clash-12003ee5ac51,1
RFI-058,2025-06-09,2025-06-19,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4805, -9208, 803mm). Ref: Clash-dbb014b6a7d7",Clash-dbb014b6a7d7,1
RFI-059,2025-06-27,2025-07-04,Architectural,Design Clarification,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (4805, -8221, 3106mm). Ref: Clash-5cbda37b4a61",Clash-5cbda37b4a61,2
RFI-060,2025-06-15,,Mechanical,Constructability,"Coordination issue at Zone 0-0 Level 1: MEP-Architecture clash near (2074, -382, 98mm). Ref: Clash-231a77c0ec54",Clash-231a77c0ec54,2
RFI-061,2025-06-18,2025-07-01,Mechanical,Design Clarification,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (3642, -8004, -64mm). Ref: Clash-2ad549820221",Clash-2ad549820221,2
RFI-062,2025-06-22,2025-06-27,Mechanical,Code Compliance,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (3265, -8782, 2650mm). Ref: Clash-da7a2a4cb26f",Clash-da7a2a4cb26f,2
RFI-063,2025-06-28,2025-07-06,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (4677, -9630, 600mm). Ref: Clash-38ec43eb65fa",Clash-38ec43eb65fa,2
RFI-064,2025-06-20,2025-06-25,Mechanical,Design Clarification,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (2558, -7848, 2737mm). Ref: Clash-b907fdf9d857",Clash-b907fdf9d857,2
RFI-065,2025-06-22,,Mechanical,Code Compliance,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (3642, -8150, 2948mm). Ref: Clash-92103e168851",Clash-92103e168851,2
RFI-066,2025-06-24,2025-07-20,Mechanical,Material Substitution,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (4770, -9158, 827mm). Ref: Clash-a32f94f6036e",Clash-a32f94f6036e,2
RFI-067,2025-06-23,,Architectural,Constructability,"Coordination issue at Zone 0-0 Level 2: MEP-Architecture clash near (4648, -3153, 3558mm). Ref: Clash-608b40d194b5",Clash-608b40d194b5,2
RFI-068,2025-06-15,2025-06-24,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (4807, -9123, -526mm). Ref: New-R1-131",New-R1-131,2
RFI-069,2025-06-18,2025-06-25,Architectural,Coordination Issue,"Coordination issue at Zone 0--2 Level 2: MEP-Architecture clash near (4969, -13583, 5705mm). Ref: New-R1-211",New-R1-211,2
RFI-070,2025-06-18,2025-07-09,Mechanical,Code Compliance,"Coordination issue at Zone 1--2 Level 2: Electrical-Mechanical clash near (8008, -11649, 3558mm). Ref: Clash-e47241f0c03e",Clash-e47241f0c03e,2
RFI-071,2025-06-18,2025-07-01,Electrical,Coordination Issue,"Coordination issue at Zone 1--2 Level 2: Electrical-Mechanical clash near (8895, -13989, 5222mm). Ref: New-R1-061",New-R1-061,2
RFI-072,2025-06-15,2025-06-24,Plumbing,Material Substitution,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (3317, -10168, 3231mm). Ref: Clash-1872f639f790",Clash-1872f639f790,2
RFI-073,2025-06-23,2025-07-07,Mechanical,Material Substitution,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4760, -9796, -577mm). Ref: Clash-0244dda636b2",Clash-0244dda636b2,2
RFI-074,2025-06-26,2025-07-05,Plumbing,Design Clarification,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4006, -8944, 3100mm). Ref: Clash-514c6913fe2f",Clash-514c6913fe2f,2
RFI-075,2025-06-24,2025-06-29,Plumbing,Material Substitution,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4152, -9139, -460mm). Ref: Clash-cea76f05cf55",Clash-cea76f05cf55,2
RFI-076,2025-06-24,2025-07-01,Plumbing,Design Clarification,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4038, -8995, 2734mm). Ref: Clash-0c1b5b8d34eb",Clash-0c1b5b8d34eb,2
RFI-077,2025-06-24,2025-06-27,Mechanical,Design Clarification,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4803, -8170, 2744mm). Ref: Clash-d786e398139c",Clash-d786e398139c,2
RFI-078,2025-06-21,2025-06-26,Plumbing,Constructability,"Coordination issue at Zone 1--1 Level 1: Plumbing-Mechanical clash near (5462, -7643, 3000mm). Ref: Clash-28f02fc743d6",Clash-28f02fc743d6,2
RFI-079,2025-06-22,,Plumbing,Design Clarification,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4093, -8080, 600mm). Ref: Clash-fcab477266fa",Clash-fcab477266fa,2
RFI-080,2025-06-19,2025-06-29,Plumbing,Coordination Issue,"Coordination issue at Zone 1--1 Level 1: Plumbing-Mechanical clash near (5412, -6804, 3117mm). Ref: Clash-53d77ed42721",Clash-53d77ed42721,2
RFI-081,2025-06-16,2025-06-19,Plumbing,Constructability,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4648, -8438, 823mm). Ref: Clash-ae231eee2239",Clash-ae231eee2239,2
RFI-082,2025-06-28,2025-07-04,Plumbing,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (2226, -10508, -287mm). Ref: New-R1-022",New-R1-022,2
RFI-083,2025-06-21,2025-06-28,Plumbing,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (2183, -6318, -794mm). Ref: New-R1-058",New-R1-058,2
RFI-084,2025-06-20,2025-06-23,Plumbing,Coordination Issue,"Coordination issue at Zone 1--1 Level 2: Plumbing-Mechanical clash near (5081, -7733, 3947mm). Ref: New-R1-138",New-R1-138,2
RFI-085,2025-06-25,2025-06-27,Plumbing,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (4088, -12293, -294mm). Ref: New-R1-197",New-R1-197,2
RFI-086,2025-07-03,2025-07-10,Mechanical,Constructability,"Coordination issue at Zone 1-0 Level 1: MEP-Architecture clash near (8415, -2956, 2652mm). Ref: Clash-82b7c5c0a17c",Clash-82b7c5c0a17c,3
RFI-087,2025-07-08,2025-07-11,Architectural,Constructability,"Coordination issue at Zone 0--2 Level 1: MEP-Architecture clash near (4672, -10394, 3000mm). Ref: Clash-f9882d8e6afc",Clash-f9882d8e6afc,3
RFI-088,2025-06-29,2025-07-04,Mechanical,Material Substitution,"Coordination issue at Zone 1-0 Level 1: MEP-Architecture clash near (8415, -408, 2659mm). Ref: Clash-c1469d81c765",Clash-c1469d81c765,3
RFI-089,2025-07-11,2025-07-24,Mechanical,Material Substitution,"Coordination issue at Zone 1--1 Level 1: MEP-Architecture clash near (7916, -7457, 458mm). Ref: Clash-9c46f341fd72",Clash-9c46f341fd72,3
RFI-090,2025-07-10,2025-07-14,Architectural,Constructability,"Coordination issue at Zone 1--4 Level 1: MEP-Architecture clash near (6686, -20303, 315mm). Ref: New-R1-080",New-R1-080,3
RFI-091,2025-06-29,2025-07-04,Architectural,Design Clarification,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (3020, -7358, 3182mm). Ref: New-R1-191",New-R1-191,3
RFI-092,2025-07-09,,Mechanical,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: MEP-Architecture clash near (2984, -12156, 3435mm). Ref: New-R2-062",New-R2-062,3
RFI-093,2025-07-07,2025-07-11,Architectural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: MEP-Architecture clash near (4716, -2545, 1630mm). Ref: New-R2-197",New-R2-197,3
RFI-094,2025-07-09,,Mechanical,Constructability,"Coordination issue at Zone 0--2 Level 2: Plumbing-Mechanical clash near (4893, -10587, 3589mm). Ref: Clash-f25947a69f52",Clash-f25947a69f52,3
RFI-095,2025-07-05,2025-07-08,Mechanical,Code Compliance,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (1543, -10329, -679mm). Ref: Clash-f5931ab5f1ef",Clash-f5931ab5f1ef,3
RFI-096,2025-07-08,2025-07-17,Mechanical,Material Substitution,"Coordination issue at Zone 0--1 Level 2: Plumbing-Mechanical clash near (3992, -9696, 3817mm). Ref: Clash-17e8a546dd2b",Clash-17e8a546dd2b,3
RFI-097,2025-07-10,2025-07-19,Plumbing,Coordination Issue,"Coordination issue at Zone 1--1 Level 2: Plumbing-Mechanical clash near (5623, -9081, 3679mm). Ref: Clash-091f5c006f77-R2",Clash-091f5c006f77-R2,3
RFI-098,2025-07-10,2025-07-13,Mechanical,Material Substitution,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (4152, -10371, 3100mm). Ref: Clash-03f968ed2531",Clash-03f968ed2531,3
RFI-099,2025-07-06,2025-07-13,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (3852, -8642, 713mm). Ref: Clash-7f469db95aaa",Clash-7f469db95aaa,3
RFI-100,2025-07-09,,Mechanical,Material Substitution,"Coordination issue at Zone 1--2 Level 1: Plumbing-Mechanical clash near (5675, -12003, -41mm). Ref: New-R1-031",New-R1-031,3
RFI-101,2025-07-06,2025-07-13,Plumbing,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (3353, -6879, 559mm). Ref: New-R2-038",New-R2-038,3
RFI-102,2025-07-10,2025-07-12,Plumbing,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (3672, -10190, 3233mm). Ref: New-R2-046",New-R2-046,3
RFI-103,2025-07-04,2025-07-09,Mechanical,Coordination Issue,"Coordination issue at Zone 1--1 Level 1: Plumbing-Mechanical clash near (7437, -8271, -247mm). Ref: New-R2-050",New-R2-050,3
RFI-104,2025-07-11,2025-07-23,Mechanical,Coordination Issue,"Coordination issue at Zone 1--1 Level 1: Plumbing-Mechanical clash near (6467, -6775, 1187mm). Ref: New-R2-095",New-R2-095,3
RFI-105,2025-07-09,2025-07-22,Mechanical,Coordination Issue,"Coordination issue at Zone 1--1 Level 1: Plumbing-Mechanical clash near (5907, -9481, 2523mm). Ref: New-R2-206",New-R2-206,3
RFI-106,2025-07-02,2025-07-09,Plumbing,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: Plumbing-Mechanical clash near (2162, -10285, 2967mm). Ref: New-R2-219",New-R2-219,3
RFI-107,2025-06-30,2025-07-05,Plumbing,Coordination Issue,"Coordination issue at Zone 1--2 Level 1: Plumbing-Mechanical clash near (7574, -10353, 415mm). Ref: New-R2-235",New-R2-235,3
RFI-108,2025-07-26,2025-07-29,Architectural,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (-341, -8536, 2923mm). Ref: New-R1-017",New-R1-017,4
RFI-109,2025-07-24,2025-08-16,Mechanical,Design Clarification,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (4020, -8721, 1845mm). Ref: New-R2-016",New-R2-016,4
RFI-110,2025-07-24,2025-07-28,Architectural,Design Clarification,"Coordination issue at Zone 1--1 Level 1: MEP-Architecture clash near (5667, -8768, 650mm). Ref: New-R2-178",New-R2-178,4
RFI-111,2025-07-22,2025-07-25,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (3147, -6268, -69mm). Ref: New-R3-097",New-R3-097,4
RFI-112,2025-07-19,2025-07-24,Architectural,Coordination Issue,"Coordination issue at Zone 1-0 Level 1: MEP-Architecture clash near (5299, 112, 3058mm). Ref: New-R3-178",New-R3-178,4
RFI-113,2025-07-21,2025-07-24,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (1921, -8959, 314mm). Ref: New-R3-224",New-R3-224,4
RFI-114,2025-07-13,,Mechanical,Coordination Issue,"Coordination issue at Zone 1--2 Level 2: MEP-Architecture clash near (7365, -12458, 3759mm). Ref: New-R3-228",New-R3-228,4
RFI-115,2025-07-22,,Mechanical,Coordination Issue,"Coordination issue at Zone 1--2 Level 1: Electrical-Mechanical clash near (5177, -11159, 273mm). Ref: New-R2-162",New-R2-162,4
RFI-116,2025-07-19,2025-07-21,Plumbing,Code Compliance,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (4648, -9823, -460mm). Ref: Clash-3b990d1f327b",Clash-3b990d1f327b,4
RFI-117,2025-07-13,2025-07-25,Mechanical,Coordination Issue,"Coordination issue at Zone 1--2 Level 1: Plumbing-Mechanical clash near (6898, -10843, 674mm). Ref: New-R1-217",New-R1-217,4
RFI-118,2025-07-16,2025-07-27,Plumbing,Coordination Issue,"Coordination issue at Zone 1--2 Level 1: Plumbing-Mechanical clash near (6335, -10274, 438mm). Ref: New-R2-321",New-R2-321,4
RFI-119,2025-07-13,2025-07-19,Plumbing,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (3663, -6671, 3173mm). Ref: New-R3-084",New-R3-084,4
RFI-120,2025-07-15,2025-08-16,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: Plumbing-Mechanical clash near (2631, -8719, -231mm). Ref: New-R3-104",New-R3-104,4
RFI-121,2025-07-20,2025-07-24,Mechanical,Coordination Issue,"Coordination issue at Zone 1--2 Level 1: Plumbing-Mechanical clash near (6739, -10088, 77mm). Ref: New-R3-109",New-R3-109,4
RFI-122,2025-08-03,2025-08-12,Architectural,Constructability,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (3887, -7245, 2854mm). Ref: New-R3-167",New-R3-167,5
RFI-123,2025-08-01,2025-08-11,Mechanical,Code Compliance,"Coordination issue at Zone 0--3 Level 1: MEP-Architecture clash near (-756, -18513, 2911mm). Ref: New-R3-270",New-R3-270,5
RFI-124,2025-08-04,2025-08-07,Architectural,Coordination Issue,"Coordination issue at Zone 1--2 Level 1: MEP-Architecture clash near (6339, -10087, 177mm). Ref: New-R3-284",New-R3-284,5
RFI-125,2025-08-01,2025-08-04,Architectural,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (4291, -9928, 1101mm). Ref: New-R4-010",New-R4-010,5
RFI-126,2025-08-02,2025-08-04,Architectural,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (3084, -7677, 1139mm). Ref: New-R4-053",New-R4-053,5
RFI-127,2025-08-03,2025-08-10,Architectural,Coordination Issue,"Coordination issue at Zone 1--1 Level 1: MEP-Architecture clash near (7547, -9257, 3450mm). Ref: New-R4-101",New-R4-101,5
RFI-128,2025-08-08,2025-08-15,Mechanical,Constructability,"Coordination issue at Zone 1-0 Level 2: Electrical-Mechanical clash near (8172, -2518, 5654mm). Ref: Clash-0ee437690a15-R2",Clash-0ee437690a15-R2,5
