submittal_id,discipline,revision,status,date_submitted,description,source_clash,source_round
SUB-028,Plumbing,1,Revise & Resubmit,2025-06-26,"Plumbing submittal for Plumbing-Mechanical resolution near (1600, -10920, 2659mm). Ref: Clash-97c007b01978",Clash-97c007b01978,2
SUB-029,Plumbing,1,Approved,2025-06-28,"Plumbing submittal for Plumbing-Mechanical resolution near (5834, -7164, -376mm). Ref: Clash-6547406f9827",Clash-6547406f9827,2
SUB-030,Plumbing,3,Approved as Noted,2025-06-16,"Plumbing submittal for Plumbing-Mechanical resolution near (3876, -9645, 2760mm). Ref: Clash-3faa64bbd23d",Clash-3faa64bbd23d,2
SUB-031,Plumbing,3,Approved,2025-06-25,"Plumbing submittal for Plumbing-Mechanical resolution near (4948, -8170, 3284mm). Ref: Clash-7374f0e05bb7",Clash-7374f0e05bb7,2
SUB-032,Plumbing,2,Approved,2025-06-20,"Plumbing submittal for Plumbing-Mechanical resolution near (4152, -7493, -210mm). Ref: Clash-8faa0ab01008",Clash-8faa0ab01008,2
SUB-033,Plumbing,2,Approved,2025-06-28,"Plumbing submittal for Plumbing-Mechanical resolution near (4648, -9894, -433mm). Ref: Clash-ffe63fef84d1",Clash-ffe63fef84d1,2
SUB-034,Plumbing,2,Approved,2025-06-23,"Plumbing submittal for Plumbing-Mechanical resolution near (4707, -9346, 2972mm). Ref: Clash-676eb76c93ac",Clash-676eb76c93ac,2
SUB-035,Plumbing,0,Approved as Noted,2025-06-16,"Plumbing submittal for Plumbing-Mechanical resolution near (4107, -10333, 3100mm). Ref: Clash-421ef218ad4f",Clash-421ef218ad4f,2
SUB-036,Plumbing,1,Approved,2025-06-27,"Plumbing submittal for Plumbing-Mechanical resolution near (3317, -10168, 3231mm). Ref: Clash-df674683c120",Clash-df674683c120,2
SUB-037,Plumbing,1,Approved,2025-06-22,"Plumbing submittal for Plumbing-Mechanical resolution near (5428, -6804, 3636mm). Ref: Clash-4071e0d5ffdf",Clash-4071e0d5ffdf,2
SUB-038,Plumbing,1,Approved,2025-06-27,"Plumbing submittal for Plumbing-Mechanical resolution near (2864, -10484, 794mm). Ref: Clash-a90f9bd64a49",Clash-a90f9bd64a49,2
SUB-039,Mechanical,3,Approved,2025-07-09,"Mechanical submittal for MEP-Architecture resolution near (6015, -5662, 2990mm). Ref: Clash-de6aea115ba2-R2",Clash-de6aea115ba2-R2,3
SUB-040,Mechanical,1,Approved as Noted,2025-06-29,"Mechanical submittal for MEP-Architecture resolution near (4121, -9696, 3000mm). Ref: Clash-74df997dbcde",Clash-74df997dbcde,3
SUB-041,Mechanical,1,Approved,2025-07-07,"Mechanical submittal for MEP-Architecture resolution near (8392, -17415, 2749mm). Ref: Clash-f06c1a5c3236",Clash-f06c1a5c3236,3
SUB-042,Mechanical,3,Approved as Noted,2025-06-30,"Mechanical submittal for MEP-Architecture resolution near (408, -11618, 2659mm). Ref: Clash-e0206257719d",Clash-e0206257719d,3
SUB-043,Mechanical,1,Approved as Noted,2025-07-11,"Mechanical submittal for MEP-Architecture resolution near (3997, -8751, 2650mm). Ref: Clash-5a9670eba9e7",Clash-5a9670eba9e7,3
SUB-044,Mechanical,0,Approved,2025-07-05,"Mechanical submittal for MEP-Architecture resolution near (4707, -9914, 2722mm). Ref: Clash-49a3e979f6d3",Clash-49a3e979f6d3,3
SUB-045,Mechanical,2,Approved,2025-07-06,"Mechanical submittal for MEP-Architecture resolution near (4707, -7510, 3106mm). Ref: Clash-70934447939e",Clash-70934447939e,3
SUB-046,Plumbing,1,Approved as Noted,2025-07-06,"Plumbing submittal for Plumbing-Mechanical resolution near (3317, -10606, 3126mm). Ref: Clash-fd5a0099d736",Clash-fd5a0099d736,3
SUB-047,Plumbing,2,Approved as Noted,2025-07-10,"Plumbing submittal for Plumbing-Mechanical resolution near (3688, -8004, -578mm). Ref: Clash-a90665227d58",Clash-a90665227d58,3
SUB-048,Plumbing,0,Approved as Noted,2025-07-04,"Plumbing submittal for Plumbing-Mechanical resolution near (4038, -8642, -581mm). Ref: Clash-b5476fecbd1d",Clash-b5476fecbd1d,3
SUB-049,Plumbing,0,Approved,2025-07-10,"Plumbing submittal for Plumbing-Mechanical resolution near (4152, -8349, -460mm). Ref: Clash-4877cd69a5d5",Clash-4877cd69a5d5,3
SUB-050,Plumbing,1,Approved,2025-07-06,"Plumbing submittal for Plumbing-Mechanical resolution near (4742, -8221, 3100mm). Ref: Clash-11ba8e061cd6",Clash-11ba8e061cd6,3
SUB-051,Plumbing,1,Revise & Resubmit,2025-06-30,"Plumbing submittal for Plumbing-Mechanical resolution near (5732, -7316, 747mm). Ref: Clash-d88dbf2fdd7b",Clash-d88dbf2fdd7b,3
SUB-052,Mechanical,2,Approved,2025-07-18,"Mechanical submittal for MEP-Architecture resolution near (3244, -15082, 2600mm). Ref: Clash-a0b72cceecd5",Clash-a0b72cceecd5,4
SUB-053,Mechanical,0,Approved,2025-07-22,"Mechanical submittal for MEP-Architecture resolution near (1824, -10732, 1071mm). Ref: New-R1-085",New-R1-085,4
SUB-054,Mechanical,0,Approved,2025-07-17,"Mechanical submittal for MEP-Architecture resolution near (4893, -17239, 2489mm). Ref: New-R1-152",New-R1-152,4
SUB-055,Mechanical,2,Approved as Noted,2025-07-14,"Mechanical submittal for MEP-Architecture resolution near (4836, -10477, 442mm). Ref: New-R1-188",New-R1-188,4
SUB-056,Mechanical,2,Approved,2025-07-21,"Mechanical submittal for MEP-Architecture resolution near (1756, -294, 2941mm). Ref: New-R2-096",New-R2-096,4
SUB-057,Mechanical,1,Approved as Noted,2025-07-24,"Mechanical submittal for MEP-Architecture resolution near (5328, -6659, 176mm). Ref: New-R2-107",New-R2-107,4
SUB-058,Mechanical,1,Approved,2025-07-16,"Mechanical submittal for MEP-Architecture resolution near (4398, -11417, 3505mm). Ref: New-R2-172",New-R2-172,4
SUB-059,Mechanical,1,Approved as Noted,2025-07-22,"Mechanical submittal for MEP-Architecture resolution near (2431, -6499, 3177mm). Ref: New-R2-262",New-R2-262,4
SUB-060,Electrical,0,Revise & Resubmit,2025-07-25,"Electrical submittal for Electrical-Mechanical resolution near (2659, -10898, 3195mm). Ref: Clash-0e25357a66e6",Clash-0e25357a66e6,4
SUB-061,Plumbing,0,Rejected,2025-07-17,"Plumbing submittal for Plumbing-Mechanical resolution near (4153, -8441, 650mm). Ref: Clash-60d96193036d",Clash-60d96193036d,4
SUB-062,Plumbing,1,Revise & Resubmit,2025-07-25,"Plumbing submittal for Plumbing-Mechanical resolution near (4707, -8768, 2729mm). Ref: Clash-59a2b7dede11",Clash-59a2b7dede11,4
SUB-063,Plumbing,0,Approved,2025-07-22,"Plumbing submittal for Plumbing-Mechanical resolution near (2821, -6584, -714mm). Ref: New-R1-048",New-R1-048,4
SUB-064,Plumbing,2,Approved as Noted,2025-07-20,"Plumbing submittal for Plumbing-Mechanical resolution near (6499, -8764, 269mm). Ref: New-R2-080",New-R2-080,4
SUB-065,Mechanical,1,Approved,2025-08-07,"Mechanical submittal for MEP-Architecture resolution near (3580, -7571, 2206mm). Ref: New-R1-180-R3",New-R1-180-R3,5
SUB-066,Mechanical,1,Approved as Noted,2025-08-04,"Mechanical submittal for MEP-Architecture resolution near (4969, -13583, 5705mm). Ref: New-R1-211",New-R1-211,5
SUB-067,Mechanical,1,Revise & Resubmit,2025-07-28,"Mechanical submittal for MEP-Architecture resolution near (2869, -10216, 316mm). Ref: New-R3-216",New-R3-216,5
SUB-068,Plumbing,2,Approved as Noted,2025-08-04,"Plumbing submittal for Plumbing-Mechanical resolution near (5740, -8029, -220mm). Ref: New-R2-070",New-R2-070,5
SUB-069,Plumbing,0,Revise & Resubmit,2025-08-05,"Plumbing submittal for Plumbing-Mechanical resolution near (3062, -7440, -873mm). Ref: New-R2-177",New-R2-177,5
SUB-070,Plumbing,0,Approved as Noted,2025-08-04,"Plumbing submittal for Plumbing-Mechanical resolution near (5704, -8427, 3069mm). Ref: New-R2-297",New-R2-297,5
SUB-071,Plumbing,0,Revise & Resubmit,2025-08-05,"Plumbing submittal for Plumbing-Mechanical resolution near (4822, -8368, -873mm). Ref: New-R3-273",New-R3-273,5
SUB-072,Mechanical,0,Revise & Resubmit,2025-08-13,"Mechanical submittal for MEP-Architecture resolution near (3108, -5640, 3491mm). Ref: New-R3-094",New-R3-094,6
